1 10 1 1 10 1 1 10 1 1 10 1 1 10 1
2 10 2 2 10 2 2 10 2 3 8 1 1 3 1
1 10 1 1 9 1 1 10 1 1 9 1 1 10 1
2 5 1 2 5 4 2 5 2 2 5 5 1 10 1
2 5 1 2 5 3 2 5 5 2 5 4 1 10 1
2 5 4 2 5 2 2 5 1 2 5 1 1 10 1
2 5 3 2 5 1 2 5 3 2 5 1 1 10 1
2 5 2 2 5 2 2 5 2 2 5 2 1 10 1
2 5 3 2 5 3 2 5 3 2 5 3 1 10 1
2 5 4 2 5 5 2 5 6 2 5 4 1 10 1
0 3 1 0 3 1 0 3 1 0 3 1 1 10 1
0 10 1 0 10 1 0 10 1 0 10 1 1 10 1
0 5 1 0 5 2 0 5 5 0 5 2 1 10 1
0 5 1 0 5 3 0 5 6 0 5 3 1 10 1
0 5 2 0 5 5 0 5 1 0 5 5 1 10 1
0 5 3 0 5 1 0 5 1 0 5 3 1 10 1
0 5 2 0 5 2 0 5 2 0 5 2 1 10 1
0 5 3 0 5 3 0 5 3 0 5 3 1 10 1
-9 5 2 -3 5 2 -3 5 6 -3 5 2 1 10 1
-10 5 3 0 5 3 -10 5 3 0 5 3 1 10 1
3 1 -1 3 1 -1 3 1 -1 3 1 -1 1 10 1
10 1 -1 10 1 -1 10 1 -1 10 1 -1 1 10 1
5 2 -1 5 2 -2 5 2 -4 5 2 -2 1 10 1
1 5 2 -1 5 2 -1 5 2 -1 5 2 1 10 1
5 2 -2 5 2 -1 5 2 -1 5 2 -2 1 10 1
5 2 -3 5 2 -1 5 2 -6 5 2 -6 1 10 1
5 2 -2 5 2 -2 5 2 -2 5 2 -2 1 10 1
5 2 -3 5 2 -3 5 2 -3 5 2 -3 1 10 1
3 0 -1 3 0 -1 3 0 -1 3 0 -1 1 10 1
10 0 -1 10 0 -1 10 0 -1 10 0 -1 1 10 1
5 0 -1 5 0 -2 5 0 -2 5 0 -2 1 10 1
5 0 -1 5 0 -3 5 0 -5 5 0 -1 1 10 1
5 0 -2 5 0 -1 5 0 -6 5 0 -5 1 10 1
5 0 -3 5 0 -1 5 0 -3 5 0 -1 1 10 1
5 0 -2 5 0 -6 5 0 -2 5 0 -2 1 10 1
5 0 -3 5 0 -3 5 0 -3 5 0 -3 1 10 1
5 -2 -2 5 -10 -2 5 -10 -2 5 -2 -2 1 10 1
5 -9 -3 5 0 -3 5 -9 -14 5 -9 -3 1 10 1
0 0 2 0 5 1 0 5 1 0 5 1 1 10 1
0 5 2 0 0 1 0 0 2 0 0 2 1 10 1
2 5 2 5 2 -2 5 2 -2 5 2 -2 1 10 1
2 10 5 10 3 -2 2 10 5 2 10 5 1 10 1
8 5 -6 2 5 3 9 5 -6  9 5 -6 1 10 1
8 0 -6 2 5 3 2 5 3 8 0 -6 1 10 1
10 0 -6 -10 0 3 1 1 1 -10 0 3 1 10 1
10 0 -6 0 5 3 8 0 -9 8 0 -9 1 10 1
0 0 1 0 0 1 0 0 1 0 0 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0 0 1 1 1 1 0 0 1 0 0 1 1 1 1
